date,location,cases,deaths,tests,percent_positivity,CFR
2020-01,Guatemala,0.0,0.0,0.0,NaN,NaN
2020-01,Guernsey,0.0,0.0,0.0,NaN,NaN
2020-01,Guinea,0.0,0.0,0.0,NaN,NaN
2020-01,Guinea-Bissau,0.0,0.0,0.0,NaN,NaN
2020-01,Guyana,0.0,0.0,0.0,NaN,NaN
2020-01,Haiti,0.0,0.0,0.0,NaN,NaN
2020-01,High income,31.0,6.0,0.0,NaN,0.1935483870967742
2020-01,Honduras,0.0,0.0,0.0,NaN,NaN
2020-01,Hong Kong,0.0,0.0,0.0,NaN,NaN
2020-01,Hungary,0.0,0.0,0.0,NaN,NaN
2020-01,Iceland,0.0,0.0,0.0,NaN,NaN
2020-01,India,0.0,0.0,0.0,NaN,NaN
2020-01,Indonesia,0.0,0.0,0.0,NaN,NaN
2020-01,Iran,0.0,0.0,0.0,NaN,NaN
2020-01,Iraq,0.0,0.0,0.0,NaN,NaN
2020-01,Ireland,0.0,0.0,0.0,NaN,NaN
2020-01,Isle of Man,0.0,0.0,0.0,NaN,NaN
2020-01,Israel,0.0,0.0,0.0,NaN,NaN
2020-01,Italy,0.0,0.0,0.0,NaN,NaN
2020-01,Jamaica,0.0,0.0,0.0,NaN,NaN
2020-01,Japan,3.0,0.0,0.0,NaN,0.0
2020-01,Jersey,0.0,0.0,0.0,NaN,NaN
2020-01,Jordan,0.0,0.0,0.0,NaN,NaN
2020-01,Kazakhstan,0.0,0.0,0.0,NaN,NaN
2020-01,Kenya,0.0,0.0,0.0,NaN,NaN
2020-01,Kiribati,0.0,0.0,0.0,NaN,NaN
2020-01,Kosovo,0.0,0.0,0.0,NaN,NaN
2020-01,Kuwait,0.0,0.0,0.0,NaN,NaN
2020-01,Kyrgyzstan,0.0,0.0,0.0,NaN,NaN
2020-01,Laos,0.0,0.0,0.0,NaN,NaN
2020-01,Latvia,0.0,0.0,0.0,NaN,NaN
2020-01,Lebanon,0.0,0.0,0.0,NaN,NaN
2020-01,Lesotho,0.0,0.0,0.0,NaN,NaN
2020-01,Liberia,0.0,0.0,0.0,NaN,NaN
2020-01,Libya,0.0,0.0,0.0,NaN,NaN
2020-01,Liechtenstein,0.0,0.0,0.0,NaN,NaN
2020-01,Lithuania,0.0,0.0,0.0,NaN,NaN
2020-01,Low income,0.0,0.0,0.0,NaN,NaN
2020-01,Lower middle income,7.0,0.0,0.0,NaN,0.0
2020-01,Luxembourg,0.0,0.0,0.0,NaN,NaN
2020-01,Madagascar,0.0,0.0,0.0,NaN,NaN
2020-01,Malawi,0.0,0.0,0.0,NaN,NaN
2020-01,Malaysia,4.0,0.0,258.0,0.015503875968992248,0.0
2020-01,Maldives,0.0,0.0,0.0,NaN,NaN
2020-01,Mali,0.0,0.0,0.0,NaN,NaN
2020-01,Malta,0.0,0.0,0.0,NaN,NaN
2020-01,Marshall Islands,0.0,0.0,0.0,NaN,NaN
2020-01,Martinique,0.0,0.0,0.0,NaN,NaN
2020-01,Mauritania,0.0,0.0,0.0,NaN,NaN
2020-01,Mauritius,0.0,0.0,0.0,NaN,NaN
2020-01,Mayotte,0.0,0.0,0.0,NaN,NaN
2020-01,Mexico,0.0,0.0,5386.0,0.0,NaN
2020-01,Micronesia (country),0.0,0.0,0.0,NaN,NaN
2020-01,Moldova,0.0,0.0,0.0,NaN,NaN
2020-01,Monaco,1.0,0.0,0.0,NaN,0.0
2020-01,Mongolia,0.0,0.0,0.0,NaN,NaN
2020-01,Montenegro,0.0,0.0,0.0,NaN,NaN
2020-01,Montserrat,0.0,0.0,0.0,NaN,NaN
2020-01,Morocco,0.0,0.0,0.0,NaN,NaN
2020-01,Mozambique,0.0,0.0,0.0,NaN,NaN
2020-01,Myanmar,0.0,0.0,0.0,NaN,NaN
2020-01,Namibia,0.0,0.0,0.0,NaN,NaN
2020-01,Nauru,0.0,0.0,0.0,NaN,NaN
2020-01,Nepal,5.0,0.0,2.0,2.5,0.0
2020-01,Netherlands,0.0,0.0,0.0,NaN,NaN
2020-01,New Caledonia,0.0,0.0,0.0,NaN,NaN
2020-01,New Zealand,0.0,0.0,0.0,NaN,NaN
2020-01,Nicaragua,0.0,0.0,0.0,NaN,NaN
2020-01,Niger,0.0,0.0,0.0,NaN,NaN
2020-01,Nigeria,0.0,0.0,0.0,NaN,NaN
2020-01,Niue,0.0,0.0,0.0,NaN,NaN
2020-01,North America,8.0,0.0,0.0,NaN,0.0
2020-01,North Korea,0.0,0.0,0.0,NaN,NaN
2020-01,North Macedonia,0.0,0.0,0.0,NaN,NaN
2020-01,Northern Mariana Islands,0.0,0.0,0.0,NaN,NaN
2020-01,Norway,0.0,0.0,0.0,NaN,NaN
2020-01,Oceania,4.0,0.0,0.0,NaN,0.0
2020-01,Oman,0.0,0.0,0.0,NaN,NaN
2020-01,Pakistan,0.0,0.0,0.0,NaN,NaN
2020-01,Palau,0.0,0.0,0.0,NaN,NaN
2020-01,Palestine,0.0,0.0,0.0,NaN,NaN
2020-01,Panama,0.0,0.0,0.0,NaN,NaN
2020-01,Papua New Guinea,0.0,0.0,0.0,NaN,NaN
2020-01,Paraguay,0.0,0.0,0.0,NaN,NaN
2020-01,Peru,0.0,0.0,0.0,NaN,NaN
2020-01,Philippines,0.0,0.0,0.0,NaN,NaN
2020-01,Pitcairn,0.0,0.0,0.0,NaN,NaN
2020-01,Poland,0.0,0.0,0.0,NaN,NaN
2020-01,Portugal,0.0,0.0,0.0,NaN,NaN
