date,location,cases,deaths,tests,percent_positivity,CFR,sequences,sequencing_rate,sero_study_participants,avg_seroprevalence,ICL_estimate_mean,IHME_estimate_mean,LSHTM_estimate_median,YYG_estimate_mean,sequence_contribution,estimate_contribution,ideal_sequences,case_contribution,apparent_sequences
2020-02-01,Mexico,1.0,0.0,5102.0,0.0001960015680125441,0.0,3.0,3.0,NaN,NaN,0.0,184346.31000000003,0.0,0.14300000000000002,0.001540041067761807,0.04869568718456249,3.915173130346494,1.3120948907024957e-05,0.0010549350378963103
2020-02-01,Philippines,3.0,1.0,0.0,NaN,0.3333333333333333,1.0,0.3333333333333333,NaN,NaN,0.0,62723.98,0.0,1.358,0.000513347022587269,0.016568746665180083,1.3321408013232858,3.9362846721074867e-05,0.003164805113688931
2020-02-01,Russia,2.0,0.0,0.0,NaN,0.0,2.0,1.0,NaN,NaN,0.0,103069.71,0.0,0.905,0.001026694045174538,0.02722620461653706,2.1890091488384296,2.6241897814049913e-05,0.0021098700757926207
2020-03-01,Bangladesh,48.0,5.0,0.0,NaN,0.10416666666666667,13.0,0.2708333333333333,NaN,NaN,0.0,623078.69,1702.3387679481202,11.715,0.00029272027200468354,0.013776828296091406,13.233033767692406,7.846894019522419e-05,0.07537163946603259
2020-03-01,Burkina Faso,222.0,15.0,0.0,NaN,0.06756756756756757,1.0,0.0045045045045045045,NaN,NaN,0.0,2551426.250000001,1696.970813454132,43.428,2.2516944000360272e-05,0.05641432120939716,54.187553296080175,0.00036291884840291183,0.3485938325304007
2020-03-01,Cameroon,90.0,6.0,0.0,NaN,0.06666666666666668,6.0,0.06666666666666667,NaN,NaN,0.0,340073.73999999993,238.96753244581348,17.285999999999998,0.00013510166400216162,0.007519335196634042,7.2225344200512565,0.00014712926286604536,0.14132182399881113
2020-03-01,Dominican Republic,581.0,20.0,3414.0,0.1701816051552431,0.03442340791738382,2.0,0.0034423407917383822,NaN,NaN,0.0,143410.07000000007,8396.203786878366,94.286,4.5033888000720544e-05,0.003170925184940044,3.045763447530412,0.0009498011302796928,0.9123108860367695
2020-03-01,Egypt,575.0,36.0,0.0,NaN,0.06260869565217393,10.0,0.017391304347826087,NaN,NaN,0.0,578604.0800000001,11089.76701987201,147.0,0.0002251694400036027,0.012793454806772379,12.288475679957212,0.0009399925127552897,0.9028894311035154
2020-03-01,Mali,17.0,1.0,0.0,NaN,0.05882352941176471,2.0,0.11764705882352941,NaN,NaN,0.0,240138.56,0.0,2.4290000000000003,4.5033888000720544e-05,0.005309678795772399,5.100096864819801,2.7791082985808565e-05,0.026694122310886543
2020-03-01,Niger,20.0,0.0,0.0,NaN,0.0,9.0,0.45,NaN,NaN,0.0,1556514.55,44.35263665098674,3.1430000000000002,0.00020265249600324244,0.034415931791405,33.05747721857499,3.2695391748010073e-05,0.03140484977751357
2020-03-01,Pakistan,1235.0,9.0,15496.0,0.0796979865771812,0.00728744939271255,4.0,0.0032388663967611335,NaN,NaN,0.0,4451432.45,7096.516252292009,246.429,9.006777600144109e-05,0.09842516125098019,94.54015499302623,0.002018940440439622,1.9392494737614634
2020-03-01,Turkey,7402.0,108.0,52113.0,0.1420374954425959,0.014590651175358009,70.0,0.009456903539583896,NaN,NaN,0.0,3498852.04,39404.08212338144,1193.572,0.001576186080025219,0.07736275459606738,74.30911686849612,0.01210056448593853,11.622934902657777
2020-03-01,Uzbekistan,0.0,0.0,0.0,NaN,NaN,2.0,NaN,NaN,NaN,0.0,211884.43,0.0,0.0,4.5033888000720544e-05,0.004684954657533222,4.500031636514896,0.0,0.0
2020-04-01,Algeria,2802.0,386.0,0.0,NaN,0.1377587437544611,3.0,0.0010706638115631692,NaN,NaN,0.0,406858.8000000001,32232.54621192572,1263.714,6.683896265929952e-05,0.004657721251135345,8.64092501555913,0.001374929953158168,2.5507465960935254
2020-04-01,Belarus,9496.0,67.0,106010.0,0.08957645505141025,0.0070556023588879534,1.0,0.00010530749789385004,NaN,NaN,0.0,307096.09,22082.73165665563,2505.429,2.227965421976651e-05,0.0035156373280695228,6.522150402698424,0.004659648406563156,8.644500241436157
2020-04-01,Cameroon,1531.0,52.0,0.0,NaN,0.033964728935336384,12.0,0.007838014369693011,NaN,NaN,0.0,836395.7,13816.054732475328,573.144,0.0002673558506371981,0.009575061486314715,17.763490741839888,0.0007512554454979141,1.3937162878726579
2020-04-01,Egypt,3743.0,271.0,0.0,NaN,0.0724018167245525,15.0,0.004007480630510286,NaN,NaN,0.0,1732749.4999999998,43249.19761871712,1472.714,0.00033419481329649765,0.019836523553242898,36.80038013248717,0.0018366748089475456,3.4073677762948122
2020-04-01,Ghana,1138.0,0.0,44706.0,0.025455196170536397,0.0,1.0,0.0008787346221441124,NaN,NaN,0.0,517191.71,2357.5213002544588,413.285,2.227965421976651e-05,0.005920812868194145,10.984191038214737,0.0005584119509971432,1.035956326322067
2020-04-01,Guinea,1085.0,8.0,0.0,NaN,0.007373271889400922,11.0,0.010138248847926268,NaN,NaN,0.0,718446.34,1159.968113449745,277.42900000000003,0.0002450761964174316,0.008224776717668166,15.258465471664612,0.0005324050675148509,0.9877087997007404
2020-04-01,Guinea-Bissau,50.0,0.0,0.0,NaN,0.0,1.0,0.02,NaN,NaN,0.0,129206.88999999994,0.0,22.714000000000002,2.227965421976651e-05,0.001479161019366194,2.7441142921907944,2.4534795738011564e-05,0.04551653454842122
