date,location,cases,deaths,tests,percent_positivity,CFR,sequences,sequencing_rate,sero_study_participants,avg_seroprevalence,ICL_estimate_mean,IHME_estimate_mean,LSHTM_estimate_median,YYG_estimate_mean,sequence_contribution,estimate_contribution,ideal_sequences,case_contribution,apparent_sequences
2020-02,Africa,3.0,0.0,0.0,NaN,0.0,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,NaN,0.0,0.0,3.942906710827222e-05,0.0031024050606404353
2020-02,Albania,0.0,0.0,26.0,0.0,NaN,NaN,NaN,NaN,NaN,336.46,288.95686049644314,0.0,0.0,NaN,0.00025055419856498986,0.019714405401938893,0.0,0.0
2020-02,Algeria,1.0,0.0,0.0,NaN,0.0,NaN,NaN,NaN,NaN,1117.6799999999996,1973.2885898247657,0.0,1828.0,NaN,0.0017110365205088083,0.13462982387055872,1.3143022369424073e-05,0.0010341350202134785
2020-02,Argentina,0.0,0.0,84.0,0.0,NaN,NaN,NaN,NaN,NaN,229.91,1818.2896473838016,0.0,1842.0,NaN,0.0015766370958507638,0.12405484744361704,0.0,0.0
2020-02,Asia,73831.0,2691.0,0.0,NaN,0.036448104454768315,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.9703624845569487,76.35122267738133
2020-02,Australia,16.0,0.0,0.0,NaN,0.0,18.0,1.125,NaN,NaN,498.34,582.2515020968525,0.0,2166.0,0.00463678516228748,0.0005048696826941548,0.039724760777453565,0.00021028835791078517,0.016546160323415656
2020-02,Austria,9.0,0.0,0.0,NaN,0.0,8.0,0.8888888888888888,NaN,NaN,282.08,707.0284505550934,0.0,8014.0,0.0020607934054611026,0.0006130636472417605,0.04823780782017251,0.00011828720132481665,0.009307215181921305
2020-02,Bahrain,41.0,0.0,0.0,NaN,0.0,NaN,NaN,NaN,NaN,282.67,647.5616851228223,0.0,0.0,NaN,0.0005615000756811594,0.04418062115341665,0.0005388639171463869,0.04239953582875261
2020-02,Belarus,1.0,0.0,0.0,NaN,0.0,NaN,NaN,NaN,NaN,90.72,31.752284550551394,0.0,0.0,NaN,2.753237349859995e-05,0.002166335171941684,1.3143022369424073e-05,0.0010341350202134785
2020-02,Belgium,1.0,0.0,0.0,NaN,0.0,2.0,2.0,NaN,NaN,689.2,4135.777695409041,0.0,21532.0,0.0005151983513652757,0.0035861286149630233,0.282168064809086,1.3143022369424073e-05,0.0010341350202134785
2020-02,Brazil,2.0,0.0,0.0,NaN,0.0,7.0,3.5,NaN,NaN,671.65,3331.0829068823437,0.0,6184.0,0.0018031942297784646,0.0028883785858329395,0.22726686170704694,2.6286044738848147e-05,0.002068270040426957
2020-02,Cambodia,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0
2020-02,Canada,16.0,0.0,157.0,0.10191082802547773,0.0,5.0,0.3125,NaN,NaN,122.77,1280.175922269375,0.0,7048.0,0.001287995878413189,0.0011100392344910194,0.0873414359294305,0.00021028835791078517,0.016546160323415656
2020-02,Chile,2.0,0.0,0.0,NaN,0.0,NaN,NaN,NaN,NaN,26.24,156.99393819725668,0.0,225.0,NaN,0.00013612928344042342,0.010711087246553732,2.6286044738848147e-05,0.002068270040426957
2020-02,China,69554.0,2624.0,0.0,NaN,0.03772608333093711,372.0,0.00534836242344078,797.0,4.4,303559.72,221998.16618605747,152171.51331081442,415011.0,0.09582689335394126,0.1924943831272341,15.146073497475628,0.914149777882922,71.92822719592827
2020-02,China,69554.0,2624.0,0.0,NaN,0.03772608333093711,372.0,0.00534836242344078,105.0,17.1,303559.72,221998.16618605747,152171.51331081442,415011.0,0.09582689335394126,0.1924943831272341,15.146073497475628,0.914149777882922,71.92822719592827
2020-02,China,69554.0,2624.0,0.0,NaN,0.03772608333093711,372.0,0.00534836242344078,13540.0,0.0,303559.72,221998.16618605747,152171.51331081442,415011.0,0.09582689335394126,0.1924943831272341,15.146073497475628,0.914149777882922,71.92822719592827
2020-02,China,69554.0,2624.0,0.0,NaN,0.03772608333093711,372.0,0.00534836242344078,6810.0,0.0,303559.72,221998.16618605747,152171.51331081442,415011.0,0.09582689335394126,0.1924943831272341,15.146073497475628,0.914149777882922,71.92822719592827
2020-02,China,69554.0,2624.0,0.0,NaN,0.03772608333093711,372.0,0.00534836242344078,1060.0,8.3,303559.72,221998.16618605747,152171.51331081442,415011.0,0.09582689335394126,0.1924943831272341,15.146073497475628,0.914149777882922,71.92822719592827
2020-02,China,69554.0,2624.0,0.0,NaN,0.03772608333093711,372.0,0.00534836242344078,510.0,0.6,303559.72,221998.16618605747,152171.51331081442,415011.0,0.09582689335394126,0.1924943831272341,15.146073497475628,0.914149777882922,71.92822719592827
2020-02,China,69554.0,2624.0,0.0,NaN,0.03772608333093711,372.0,0.00534836242344078,233.0,0.4,303559.72,221998.16618605747,152171.51331081442,415011.0,0.09582689335394126,0.1924943831272341,15.146073497475628,0.914149777882922,71.92822719592827
2020-02,China,69554.0,2624.0,0.0,NaN,0.03772608333093711,372.0,0.00534836242344078,44.0,NaN,303559.72,221998.16618605747,152171.51331081442,415011.0,0.09582689335394126,0.1924943831272341,15.146073497475628,0.914149777882922,71.92822719592827
2020-02,Croatia,6.0,0.0,0.0,NaN,0.0,NaN,NaN,NaN,NaN,126.19,59.8400757178187,0.0,444.0,NaN,5.1887268527860165e-05,0.004082656179046903,7.885813421654444e-05,0.006204810121280871
2020-02,Cyprus,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,71.05,111.20063331851135,0.0,117.0,NaN,9.642195555824805e-05,0.007586787738581731,0.0,0.0
2020-02,Czechia,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0
2020-02,Denmark,3.0,0.0,294.0,0.010204081632653059,0.0,2.0,0.6666666666666666,NaN,NaN,718.56,740.2737883028374,0.0,6568.0,0.0005151983513652757,0.0006418906456424816,0.05050600821852046,3.942906710827222e-05,0.0031024050606404353
2020-02,Egypt,1.0,0.0,0.0,NaN,0.0,NaN,NaN,NaN,NaN,323.52,2465.1435799387177,0.0,2302.0,NaN,0.002137523480003266,0.16818718138549632,1.3143022369424073e-05,0.0010341350202134785
2020-02,Estonia,1.0,0.0,31.0,0.03225806451612903,0.0,NaN,NaN,NaN,NaN,203.81,29.168302713965723,0.0,0.0,NaN,2.529180548765223e-05,0.0019900401174128657,1.3143022369424073e-05,0.0010341350202134785
2020-02,Europe,1489.0,31.0,0.0,NaN,0.020819341840161185,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.019569960308072443,1.5398270450978693
2020-02,European Union,1392.0,31.0,0.0,NaN,0.022270114942528736,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.018295087138238308,1.4395159481371618
2020-02,Fiji,0.0,0.0,1.0,0.0,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0
2020-02,Finland,2.0,0.0,373.0,0.0053619302949061655,0.0,1.0,0.5,NaN,NaN,83.28,106.462865974615,0.0,520.0,0.00025759917568263783,9.231384233401835e-05,0.007263548255853513,2.6286044738848147e-05,0.002068270040426957
2020-02,France,95.0,2.0,0.0,NaN,0.021052631578947368,44.0,0.4631578947368421,NaN,NaN,3617.47,52177.09648039669,197.83097713521812,422595.0,0.011334363730036065,0.04524270705887901,3.5598408390213017,0.001248587125095287,0.09824282692028045
2020-02,Georgia,1.0,0.0,0.0,NaN,0.0,2.0,2.0,NaN,NaN,11.04,18.387056155208818,0.0,0.0,0.0005151983513652757,1.5943397609673704e-05,0.0012544774973303136,1.3143022369424073e-05,0.0010341350202134785
2020-02,Germany,74.0,0.0,0.0,NaN,0.0,24.0,0.32432432432432434,NaN,NaN,532.77,2610.707668388048,0.0,39577.0,0.0061823802163833074,0.0022637419524029353,0.1781184543330342,0.0009725836553373814,0.0765259914957974
2020-02,Greece,4.0,0.0,0.0,NaN,0.0,1.0,0.25,NaN,NaN,355.54,530.2341936258576,0.0,3774.0,0.00025759917568263783,0.0004597655276550035,0.036175821654315744,5.257208947769629e-05,0.004136540080853914
2020-02,Guatemala,0.0,0.0,4.0,0.0,NaN,NaN,NaN,NaN,NaN,9.4,183.74703556892385,0.0,0.0,NaN,0.00015932686684291792,0.012536347274768515,0.0,0.0
2020-02,Hong Kong,0.0,0.0,0.0,NaN,NaN,61.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.015713549716640907,NaN,NaN,0.0,0.0
2020-02,Iceland,1.0,0.0,68.0,0.014705882352941175,0.0,1.0,1.0,NaN,NaN,0.0,159.73800174369543,0.0,142.0,0.00025759917568263783,0.00013850865813846015,0.01089830405500823,1.3143022369424073e-05,0.0010341350202134785
2020-02,India,2.0,0.0,0.0,NaN,0.0,NaN,NaN,NaN,NaN,234.63,2786.14870647272,0.0,4782.0,NaN,0.002415866697311893,0.19008811562778927,2.6286044738848147e-05,0.002068270040426957
2020-02,International,705.0,6.0,0.0,NaN,0.00851063829787234,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.009265830770443972,0.7290651892505022
2020-02,Iran,593.0,43.0,0.0,NaN,0.07251264755480608,2.0,0.003372681281618887,NaN,NaN,120713.84,309314.57034505426,3180.5182616198326,386189.0,0.0005151983513652757,0.26820634797917603,21.103332954380598,0.007793812265068475,0.6132420669865927
2020-02,Iraq,13.0,0.0,0.0,NaN,0.0,NaN,NaN,NaN,NaN,1937.63,7282.303339555986,0.0,0.0,NaN,0.006314477786804646,0.4968433005855813,0.00017085929080251294,0.013443755262775218
2020-02,Ireland,1.0,0.0,0.0,NaN,0.0,NaN,NaN,NaN,NaN,108.41,430.5519144514862,0.0,6123.0,NaN,0.00037333112520905896,0.02937488652629514,1.3143022369424073e-05,0.0010341350202134785
2020-02,Israel,6.0,0.0,864.0,0.006944444444444444,0.0,2.0,0.3333333333333333,NaN,NaN,96.61,126.54295756714384,0.0,736.0,0.0005151983513652757,0.00010972526924194459,0.008633534991877216,7.885813421654444e-05,0.006204810121280871
2020-02,Italy,1126.0,29.0,14337.0,0.07853804840622168,0.025754884547069267,165.0,0.14653641207815277,NaN,NaN,92857.97,272999.70775529183,15017.605222953944,1267021.0,0.04250386398763524,0.2367177677234819,18.625710786212373,0.014799043187971506,1.1644360327603767
2020-02,Japan,230.0,6.0,1560.0,0.14743589743589744,0.026086956521739132,119.0,0.5173913043478261,NaN,NaN,3098.88,2016.1436732766572,992.194854754494,10857.0,0.0306543019062339,0.0017481961195931726,0.13755365993125301,0.003022895144967537,0.23785105464910003
2020-02,Kuwait,45.0,0.0,0.0,NaN,0.0,NaN,NaN,NaN,NaN,3.74,71.70697795550767,0.0,0.0,NaN,6.217704733603574e-05,0.00489228887361951,0.0005914360066240833,0.04653607590960653
2020-02,Latvia,0.0,0.0,116.0,0.0,NaN,NaN,NaN,NaN,NaN,25.88,11.069725468448077,0.0,0.0,NaN,9.598547645888496e-06,0.0007552444167555579,0.0,0.0
2020-02,Lebanon,4.0,0.0,0.0,NaN,0.0,2.0,0.5,NaN,NaN,539.02,728.437990439235,0.0,0.0,0.0005151983513652757,0.0006316278374053033,0.049698497654702814,5.257208947769629e-05,0.004136540080853914
2020-02,Lithuania,1.0,0.0,0.0,NaN,0.0,NaN,NaN,NaN,NaN,104.18,72.46941880361624,0.0,268.0,NaN,6.283815901659195e-05,0.004944307254317535,1.3143022369424073e-05,0.0010341350202134785
2020-02,Luxembourg,1.0,0.0,15.0,0.06666666666666668,0.0,2.0,2.0,NaN,NaN,162.13,361.9249849975842,0.0,983.0,0.0005151983513652757,0.00031382478478247423,0.02469273741095639,1.3143022369424073e-05,0.0010341350202134785
2020-02,Malaysia,17.0,0.0,749.0,0.022696929238985315,0.0,9.0,0.5294117647058824,NaN,NaN,864.3599999999999,1132.85873301211,0.0,2152.0,0.00231839258114374,0.0009823006501715951,0.07729055571602357,0.00022343138028020924,0.01758029534362913
2020-02,Malta,0.0,0.0,110.0,0.0,NaN,NaN,NaN,NaN,NaN,33.28,7.505506542639519,0.0,0.0,NaN,6.508017056194728e-06,0.0005120715890748737,0.0,0.0
2020-02,Mexico,4.0,0.0,5232.0,0.0007645259938837921,0.0,3.0,0.75,NaN,NaN,95.18,81.11793004295642,0.0,1062.0,0.0007727975270479134,7.033727427770846e-05,0.005534361618843261,5.257208947769629e-05,0.004136540080853914
2020-02,Monaco,1.0,0.0,0.0,NaN,0.0,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,NaN,0.0,0.0,1.3143022369424073e-05,0.0010341350202134785
2020-02,Morocco,0.0,0.0,7.0,0.0,NaN,1.0,NaN,NaN,NaN,106.79,846.4984554016218,0.0,1953.0,0.00025759917568263783,0.0007339979459745891,0.05775330508931829,0.0,0.0
2020-02,Nepal,0.0,0.0,187.0,0.0,NaN,NaN,NaN,NaN,NaN,0.0,46.164499363407934,0.0,0.0,NaN,4.002919024064853e-05,0.0031496246673782535,0.0,0.0
2020-02,Netherlands,6.0,0.0,0.0,NaN,0.0,16.0,2.6666666666666665,NaN,NaN,1169.18,7498.791595801288,0.0,62373.0,0.004121586810922205,0.006502194532650664,0.5116134543069575,7.885813421654444e-05,0.006204810121280871
2020-02,New Zealand,1.0,0.0,0.0,NaN,0.0,1.0,1.0,NaN,NaN,10.24,23.22795426391848,0.0,0.0,0.00025759917568263783,2.014093541472421e-05,0.001584753191981129,1.3143022369424073e-05,0.0010341350202134785
2020-02,Nigeria,1.0,0.0,0.0,NaN,0.0,2.0,2.0,NaN,NaN,24.91,656.7385369384599,0.0,74.0,0.0005151983513652757,0.0005694573145162799,0.04480672214543386,1.3143022369424073e-05,0.0010341350202134785
2020-02,North America,37.0,1.0,0.0,NaN,0.027027027027027032,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0004862918276686907,0.0382629957478987
2020-02,North Macedonia,1.0,0.0,0.0,NaN,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.3143022369424073e-05,0.0010341350202134785
2020-02,Norway,15.0,0.0,970.0,0.015463917525773196,0.0,7.0,0.4666666666666667,NaN,NaN,593.3900000000001,572.1652895632201,0.0,2399.0,0.0018031942297784646,0.0004961239381093796,0.039036617632083964,0.0001971453355413611,0.015512025303202177
2020-02,Oceania,17.0,0.0,0.0,NaN,0.0,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.00022343138028020924,0.01758029534362913
2020-02,Oman,6.0,0.0,0.0,NaN,0.0,2.0,0.3333333333333333,NaN,NaN,15.07,142.8249900553449,0.0,0.0,0.0005151983513652757,0.0001238434029802524,0.009744394892169795,7.885813421654444e-05,0.006204810121280871
2020-02,Pakistan,4.0,0.0,0.0,NaN,0.0,NaN,NaN,NaN,NaN,91.57,1741.0308670244046,0.0,259.0,NaN,0.0015096460863215212,0.1187837806336866,5.257208947769629e-05,0.004136540080853914
2020-02,Peru,0.0,0.0,85.0,0.0,NaN,NaN,NaN,NaN,NaN,166.01000000000005,778.6734761423444,0.0,550.0,NaN,0.0006751869757425656,0.053125869924089006,0.0,0.0
2020-02,Philippines,2.0,1.0,0.0,NaN,0.5,NaN,NaN,NaN,NaN,987.37,7229.968797978025,0.0,39946.0,NaN,0.006269098559262501,0.4932727178784604,2.6286044738848147e-05,0.002068270040426957
2020-02,Portugal,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,239.19000000000003,531.1930152825994,0.0,7376.0,NaN,0.0004605969209341212,0.036241238335604053,0.0,0.0
2020-02,Qatar,1.0,0.0,0.0,NaN,0.0,NaN,NaN,NaN,NaN,8.07,180.9556071041133,0.0,0.0,NaN,0.00015690642207254462,0.012345898941715477,1.3143022369424073e-05,0.0010341350202134785
2020-02,Romania,3.0,0.0,0.0,NaN,0.0,NaN,NaN,NaN,NaN,217.81,288.37062361301986,0.0,2433.0,NaN,0.00025004587316221864,0.01967440873405733,3.942906710827222e-05,0.0031024050606404353
2020-02,Russia,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,61.61000000000001,208.97487526504867,0.0,1026.0,NaN,0.00018120190087301112,0.014257544889976732,0.0,0.0
2020-02,San Marino,1.0,0.0,0.0,NaN,0.0,NaN,NaN,NaN,NaN,0.0,1183.3008540721048,0.0,0.0,NaN,0.0010260389618157336,0.08073202591403836,1.3143022369424073e-05,0.0010341350202134785
2020-02,Senegal,0.0,0.0,1.0,0.0,NaN,1.0,NaN,NaN,NaN,13.89,128.87946237787725,0.0,0.0,0.00025759917568263783,0.00011175125017657533,0.00879294564917478,0.0,0.0
2020-02,Serbia,0.0,0.0,17.0,0.0,NaN,NaN,NaN,NaN,NaN,51.56,150.17852202344827,0.0,580.0,NaN,0.00013021964303810995,0.010246097845704936,0.0,0.0
2020-02,Singapore,89.0,0.0,0.0,NaN,0.0,41.0,0.4606741573033708,NaN,NaN,104.69,104.99953114503866,0.0,0.0,0.01056156620298815,9.104498619809959e-05,0.007163710598358615,0.0011697289908787424,0.09203801679899958
2020-02,Slovenia,0.0,0.0,194.0,0.0,NaN,NaN,NaN,NaN,NaN,98.6,135.75607293622477,0.0,822.0,NaN,0.00011771395216721217,0.009262110105438608,0.0,0.0
2020-02,South Africa,0.0,0.0,15.0,0.0,NaN,NaN,NaN,NaN,NaN,28.4,167.39950666556678,0.0,0.0,NaN,0.00014515194122993334,0.011421018808204344,0.0,0.0
2020-02,South America,4.0,0.0,0.0,NaN,0.0,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,NaN,0.0,0.0,5.257208947769629e-05,0.004136540080853914
2020-02,South Korea,3139.0,16.0,85144.0,0.036866954805975766,0.005097164702134439,128.0,0.0407773176170755,NaN,NaN,0.0,12485.837295123127,3554.3549347185863,26281.0,0.03297269448737764,0.01082645676423019,0.8518602319938186,0.041255947217622164,3.2461498284501085
2020-02,Spain,45.0,0.0,0.0,NaN,0.0,29.0,0.6444444444444445,NaN,NaN,9913.3,128034.38327200232,284.60715721871134,411576.0,0.007470376094796497,0.11101848294712548,8.73528918079641,0.0005914360066240833,0.04653607590960653
2020-02,Sri Lanka,0.0,0.0,14.0,0.0,NaN,1.0,NaN,NaN,NaN,14.999999999999998,43.181943978637506,0.0,0.0,0.00025759917568263783,3.74430195132155e-05,0.00294613648617335,0.0,0.0
2020-02,Sweden,14.0,0.0,0.0,NaN,0.0,6.0,0.42857142857142855,NaN,NaN,1205.3200000000004,1928.728614784131,0.0,16696.0,0.0015455950540958269,0.0016723986116694036,0.1315896696719628,0.000184002313171937,0.014477890282988697
2020-02,Switzerland,18.0,0.0,0.0,NaN,0.0,28.0,1.5555555555555556,NaN,NaN,545.03,6202.952342654041,0.0,35915.0,0.0072127769191138585,0.005378573639955645,0.42320337008746545,0.0002365744026496333,0.01861443036384261
2020-02,Taiwan,29.0,1.0,9913.0,0.002925451427418541,0.03448275862068965,11.0,0.3793103448275862,NaN,NaN,1.07,77.92341240024147,0.0,0.0,0.002833590932509016,6.756731129293269e-05,0.0053164120752195905,0.0003811476487132981,0.029989915586190873
